1000 2000
955 969 4
409 150 5
510 637 4
552 406 4
406 302 6
351 694 10
972 620 5
356 72 8
647 30 7
593 333 4
163 90 7
754 77 9
805 145 7
933 348 6
759 724 7
365 949 9
695 208 8
680 141 1
31 538 7
847 880 5
651 389 1
893 462 3
561 302 9
238 440 2
590 275 1
771 128 4
806 37 4
219 289 1
498 972 7
974 273 9
301 557 3
483 695 2
322 150 8
156 331 9
510 49 9
143 750 1
901 9 9
379 518 7
292 185 4
835 38 3
971 99 4
46 143 1
876 425 10
969 739 9
45 476 10
382 953 10
395 811 3
22 426 6
51 23 8
637 556 9
543 876 3
328 489 2
627 128 9
344 33 5
95 67 6
190 451 6
877 384 7
384 691 9
837 910 2
978 875 5
398 610 4
186 971 10
792 696 5
909 604 9
239 887 8
214 4 9
704 613 8
554 707 9
548 749 5
227 395 6
473 626 3
604 487 2
272 733 5
212 62 5
704 949 8
558 834 1
99 409 4
903 660 9
562 381 8
917 162 3
711 185 8
775 226 9
502 95 10
170 793 4
328 798 7
72 830 7
658 116 5
834 94 9
238 469 6
932 191 8
843 738 2
141 819 5
252 137 1
249 978 10
90 249 2
971 800 9
397 588 2
91 38 2
435 258 4
300 92 10
102 435 1
735 295 7
832 814 9
471 202 1
402 528 4
944 687 10
424 308 3
658 913 3
68 485 6
540 755 6
823 195 6
776 948 1
12 588 8
128 949 6
978 235 10
646 518 1
338 584 8
34 240 6
162 747 2
400 382 8
186 736 7
611 90 7
697 934 5
925 808 6
713 593 10
824 314 6
494 982 4
267 117 6
367 409 8
991 727 10
508 807 7
641 395 1
992 307 8
850 563 3
757 386 7
677 658 10
888 878 6
733 273 4
659 775 6
732 379 1
61 705 9
701 690 7
578 495 2
551 964 5
606 570 4
782 562 3
788 245 7
955 546 2
966 881 10
739 888 6
865 714 5
561 37 5
540 609 10
185 242 4
259 219 3
785 404 3
512 616 4
317 623 1
323 763 3
902 258 6
540 26 3
692 475 5
439 535 5
587 449 9
706 508 3
570 449 10
331 206 9
569 10 5
912 875 3
752 24 5
732 91 2
654 18 2
695 502 6
880 327 3
90 819 8
250 118 5
133 798 8
242 602 5
741 855 10
918 299 6
652 279 1
602 101 4
209 218 8
494 89 10
852 488 1
396 317 9
419 439 4
152 239 8
339 21 7
164 144 4
226 236 8
95 137 9
796 299 6
417 97 9
660 326 7
612 163 5
723 781 1
847 369 7
68 880 7
850 275 7
308 834 1
269 607 3
7 549 8
817 670 7
594 564 8
527 695 8
339 443 10
637 360 4
972 738 9
864 378 1
706 346 7
4 707 10
276 567 1
641 84 3
465 982 8
177 752 7
852 938 10
713 785 1
486 362 7
688 796 4
678 922 6
292 335 4
829 620 4
526 480 10
